"","accepted_binomial","pf1","a","b","c","Topt","Logit.Max","Model.Max","Topt.upp","Topt.low","Tmax","Tmin","Tbreadth","Toptbreadth","SEmax","SEmin","SEopt.upp","SEopt.low","SEopt","SEbreadth","SEoptbreadth","Family","clade5","Tmean_count","Af1","Af7"
"55","Bellis perennis",1,-0.0316907418765487,1.12684633880096,-5.52013094284919,17.7787939327926,4.49685348288289,0.988978813929872,25.2175780529373,10.340009812648,33.1022943265963,2.45529353898898,30.6470007876073,14.8775682402893,1.92766480405017,1.18451646294532,1.43583838054831,0.934962903463635,0.540053029621896,3.01186198161691,2.169088719394,"Asteraceae","Asterids",11,1,1
"56","Bituminaria bituminosa",1,-0.000250178910855463,0.0184703475633143,0.346792101159331,36.914277666644,0.687701870435134,0.665455501547822,61.0807984586212,12.7477568746668,157.405661437429,-83.5771061041412,240.98276754157,48.3330415839544,1558.94490578356,821.497254172226,749.127953667143,48.1399456480736,371.594513143646,2378.65592025584,758.083347575442,"Fabaceae","Rosids",10,1,0
"57","Bolboschoenus maritimus",1,-0.0455338540301245,2.18740710816745,-26.3893320347192,24.0195691179611,-0.119043922845428,0.470274115920427,25.4618990162329,22.5772392196893,31.8967784181279,16.1423598177943,15.7544186003335,2.88465979654366,NA,NA,NA,NA,NA,NA,NA,"Cyperaceae","Monocots",7,1,1
"58","Bombycilaena discolor",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"59","Brachypodium distachyon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"60","Brachypodium phoenicoides",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"61","Brachypodium pinnatum",1,0.00748571469536339,-0.076416892039795,1.24501633361083,5.10418144089349,1.04999349255068,0.740773649571311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,0,0
"62","Brachypodium retusum",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"63","Brachypodium sylvaticum",1,-0.204807323097156,7.99195611804792,-74.8928291746547,19.5109139585227,3.07235491510626,0.955737899290425,21.4667963628152,17.5550315542301,24.9310455034982,14.0907824135472,10.840263089951,3.9117648085851,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,1,1
"64","Brassica repanda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"65","Briza maxima",1,0.107194134950807,-3.78676201571457,34.7741130376025,17.6631026382758,1.3311299624571,0.791027482401034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",4,0,0
"66","Briza media",1,-0.0270717623059518,0.970677711390491,-6.62837160669885,17.9278633659007,2.07271708436812,0.888223006138212,21.703153652378,14.1525730794235,31.5413867316092,4.31434000019227,27.2270467314169,7.55058057295456,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",11,1,NA
"67","Bromus diandrus",1,0.025893246331182,-0.842447402873607,9.85236082538221,16.2677053332453,3.00001777102941,0.952574929651725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87824817574944,NA,NA,"Poaceae","Monocots",6,0,0
"68","Bromus erectus",1,-0.13284845009936,4.73629429047591,-39.0114776289401,17.8259297979522,3.20294713329265,0.96094503254096,20.3604718016435,15.291387794261,24.628405510167,11.0234540857375,13.6049514244295,5.06908400738253,1.5525841276097,1.4801500221293,0.622435708293521,0.70934189784078,0.338812475449259,2.95694902704625,1.149786373158,"Poaceae","Monocots",5,1,1
"69","Bromus fasciculatus",1,-4.38456133152614,179.271530696728,-1828.86946589485,20.4434967539077,3.59901203846539,0.973377416534189,20.9423001610054,19.9446933468101,21.6651286213405,19.2218648864749,2.44326373486564,0.997606814195265,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",3,1,0
"70","Bromus hordeaceus",1,-0.0149138389272152,0.453781115002941,0.958354291245279,15.2134241632068,4.41013658114162,0.987992416115036,25.8373179073743,4.58953041903938,37.4201270998137,-6.99327877340003,44.4134058732137,21.2477874883349,5.70295564189021,9.69768518758953,1.740898650942,5.99198705526672,2.69379870600067,14.9703505713166,6.98878158857954,"Poaceae","Monocots",8,1,0
"71","Bromus intermedius",1,0.101170405782118,-4.62057820290166,55.6800923489041,22.8356215791633,2.92320468970792,0.948981679018304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",4,0,0
"72","Bromus madritensis",1,0.323462835659357,-12.8719746551107,131.391305606659,19.8971461881735,3.33352488505807,0.965561174531665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",3,0,0
"73","Bromus rubens",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"74","Bromus squarrosus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,0,NA
"75","Bromus sterilis",1,0.0775439431799447,-2.90891289493576,30.1396694950253,18.756544841842,2.85909191758783,0.94578675719346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0458256655279,NA,NA,"Poaceae","Monocots",6,0,0
