,Accepted binomial,Family,Clade,Risk category,DormancyShort,Topt,Topt.upp,Topt.low,Toptbreadth,SEopt,SEoptbreadth,Conservation interest,Restoration relevance
70,Hypericum trichocaulon,Hypericaceae,Rosids,High,PD,14.94853799,15.26038275,14.63669323,0.623689522,NA,NA,0,0
71,Hypochaeris radicata,Asteraceae,Asterids,Thermally resilient,PD,17.55230878,23.11624907,11.98836848,11.12788059,1.770081148,53.81740421,0,1
72,Jasione crispa,Campanulaceae,Asterids,Warm-narrow,NoInfo,18.23307199,19.49158826,16.97455572,2.517032543,0.859398569,16.77484544,1,1
73,Jasione montana,Campanulaceae,Asterids,Warm-narrow,NoInfo,18.52516118,19.98077244,17.06954993,2.911222517,NA,NA,1,1
74,Juncus bufonius,Juncaceae,Monocots,High,PD,14.55602724,17.19678387,11.91527061,5.281513265,0.824558917,3.226415374,0,0
75,Juncus inflexus,Juncaceae,Monocots,Warm-narrow,PD,21.29246349,23.25691614,19.32801084,3.928905303,NA,NA,0,0
76,Jurinea humilis,Asteraceae,Asterids,High,NoInfo,14.8351351,17.66639925,12.00387096,5.662528297,NA,NA,0,1
77,Koeleria vallesiana,Poaceae,Monocots,High,NoInfo,15.86441684,18.84662483,12.88220885,5.964415977,2.619043732,3.539805237,0,1
78,Lapsana communis,Asteraceae,Asterids,High,PD,15.69814854,17.41397399,13.98232309,3.431650902,1.005775203,4.314528888,0,0
79,Lathyrus pratensis,Fabaceae,Rosids,Cold-wide,PY(PD),14.80019276,20.39868263,9.201702901,11.19697972,NA,NA,0,1
80,Lavandula stoechas,Lamiaceae,Asterids,High,PD,14.74237753,17.73361684,11.75113823,5.982478617,1.155244714,12.67389041,0,0
81,Lolium perenne,Poaceae,Monocots,Cold-wide,PD,13.31935742,23.2697785,3.36893634,19.90084216,NA,NA,0,1
82,Lonicera xylosteum,Caprifoliaceae,Asterids,High,PD,14.02770497,16.24195204,11.8134579,4.428494149,NA,NA,0,0
83,Lotus corniculatus,Fabaceae,Rosids,Thermally resilient,PY(PD),17.43378595,28.40074878,6.466823111,21.93392567,3.754102539,14.44825652,0,1
84,Lotus creticus,Fabaceae,Rosids,Thermally resilient,PY(PD),24.40676893,28.48630279,20.32723508,8.159067704,0.289839677,NA,0,0
85,Lotus dorycnium,Fabaceae,Rosids,Thermally resilient,PY(PD),17.57909238,22.24453305,12.91365171,9.330881338,7.554177213,15.54529432,1,1
86,Luzula sylvatica,Juncaceae,Monocots,Cold-wide,PD,15.18893549,19.7149653,10.66290569,9.052059616,0.347381811,1.607305552,0,1
87,Matthiola tricuspidata,Brassicaceae,Rosids,Warm-narrow,PD,17.35939968,19.97812498,14.74067439,5.237450591,NA,NA,0,0
88,Medicago lupulina,Fabaceae,Rosids,Thermally resilient,PY(PD),17.16842292,24.59992821,9.736917621,14.86301059,2.038720124,7.050694949,0,1
89,Melica uniflora,Poaceae,Monocots,High,NoInfo,14.48706326,15.74191875,13.23220778,2.509710965,2.201332028,21.70173204,0,0
90,Minuartia recurva,Caryophyllaceae,Caryophyllales,High,NoInfo,14.55575003,17.58299187,11.5285082,6.054483675,0.870241406,2.691026411,0,1
91,Nardus stricta,Poaceae,Monocots,Warm-narrow,PD,17.96649464,20.92216942,15.01081987,5.911349549,2.029322725,11.86822282,0,1
92,Oloptum miliaceum,Poaceae,Monocots,High,NoInfo,16.75718083,19.03499874,14.47936291,4.555635821,NA,NA,0,0
93,Ornithopus perpusillus,Fabaceae,Rosids,Cold-wide,NoInfo,15.42800926,21.26335502,9.592663499,11.67069152,2.751106601,32.01114355,0,0
